Date,VTI,VEA,BND,BNDX,FZROX,VFIDX,VFSUX,^GSPC,^DJI,^IXIC,^NYA
2021-02-23,191.1632996,42.94457245,75.1835022,49.2974205,13.38108349,8.595344543,9.601765633,3881.370117,31537.34961,13465.2002,15359.12988
2021-02-24,193.3094025,43.10114288,75.13981628,49.23720932,13.53281784,8.586994171,9.601765633,3925.429932,31961.85938,13597.96973,15539.41992
2021-02-25,188.2581024,42.37047577,74.48414612,48.84152603,13.17244911,8.495110512,9.566849709,3829.340088,31402.00977,13119.42969,15206.66992
2021-02-26,187.5083466,41.76157379,75.13105774,49.17697525,13.13451481,8.553699493,9.599199295,3811.149902,30932.36914,13192.34961,15010.46973
2021-03-01,192.3254089,42.57053757,75.03386688,49.38789749,13.46643257,8.562065125,9.599199295,3901.820068,31535.50977,13588.83008,15327.76953
2021-03-02,190.5166321,42.55313492,75.0251236,49.38789749,13.33366489,8.570436478,9.599199295,3870.290039,31391.51953,13358.79004,15277.01953
2021-03-03,187.7707672,42.29217911,74.78868866,49.23294067,13.13451481,8.545331001,9.590455055,3819.719971,31270.08984,12997.75,15199.19043
2021-03-04,184.7999268,41.86595535,74.55232239,49.16407394,12.92588043,8.503483772,9.581710815,3768.469971,30924.14063,12723.46973,14959.41016
2021-03-05,188.1362457,42.20519257,74.50853729,49.20711136,13.17244911,8.478370667,9.581710815,3841.939941,31496.30078,12920.15039,15251.83008
2021-03-08,187.2178345,41.99642944,74.16706848,49.12102509,13.09658146,8.436527252,9.564228058,3821.350098,31802.43945,12609.16016,15288.37988
2021-03-09,190.1230164,42.53573608,74.4122467,49.2673645,13.31470013,8.453263283,9.564228058,3875.439941,31832.74023,13073.82031,15375.62988
2021-03-10,191.4819794,42.71841431,74.55232239,49.30181503,13.40004921,8.470003128,9.564228058,3898.810059,32297.01953,13068.83008,15521.83984
2021-03-11,193.9841766,43.03155518,74.56109619,49.37068939,13.58023548,8.478370667,9.572971344,3939.340088,32485.58984,13398.66992,15648.0
2021-03-12,194.3683929,43.13594055,74.1145401,49.18128586,13.5992012,8.436527252,9.564228058,3943.340088,32778.64063,13319.86035,15715.20996
2021-03-15,195.7272949,43.24032593,74.20210266,49.30181503,13.70351887,8.44489193,9.564228058,3968.939941,32953.46094,13459.70996,15775.5
2021-03-16,194.9400787,43.30991745,74.19334412,49.25016022,13.6466198,8.44489193,9.564228058,3962.709961,32825.94922,13471.57031,15669.2998
2021-03-17,195.6804657,43.53606796,74.16706848,49.15548325,13.69403458,8.436527252,9.564228058,3974.120117,33015.37109,13525.2002,15731.15039
2021-03-18,192.1192017,43.11854172,73.86063385,49.05216217,13.45694923,8.403048515,9.555483818,3915.459961,32862.30078,13116.16992,15589.08984
2021-03-19,192.3628845,43.26642609,73.92193604,49.138237,13.46643257,8.403048515,9.555483818,3913.100098,32627.9707,13215.24023,15562.25977
2021-03-22,193.4031372,43.28476715,74.13207245,49.18128586,13.54230022,8.419782639,9.555483818,3940.590088,32731.19922,13377.54004,15551.55957
2021-03-23,191.2008057,42.62934113,74.29842377,49.3104248,13.40004921,8.44489193,9.564228058,3910.52002,32423.15039,13227.7002,15346.53027
2021-03-24,189.6169586,42.44581985,74.4122467,49.37930298,13.28624916,8.44489193,9.564228058,3889.139893,32420.06055,12961.88965,15276.55957
2021-03-25,191.0198669,42.71672821,74.35969543,49.41373062,13.38108349,8.44489193,9.564228058,3909.52002,32619.48047,12977.67969,15410.37012
2021-03-26,194.1416626,43.30225372,74.2283783,49.31903076,13.5992012,8.428151131,9.564228058,3974.540039,33072.87891,13138.73047,15682.54004
2021-03-29,193.2295837,43.09251404,74.13207245,49.20711136,13.53281784,8.411414146,9.555483818,3971.090088,33171.37109,13059.65039,15611.87988
2021-03-30,193.1731873,43.04007339,74.21087646,49.16407394,13.53281784,8.403048515,9.555483818,3958.550049,33066.96094,13045.38965,15626.11035
